Song,Album,Lyric,Previous Lyric,Next Lyric,Multiplicity
Asystole,FLOWERS for VASES / descansos,"I don't live for you, I live for me",,If only that were true,1
Asystole,FLOWERS for VASES / descansos,If only that were true,"I don't live for you, I live for me","If only I could prove that on my own, I'm worthy",1
Asystole,FLOWERS for VASES / descansos,"If only I could prove that on my own, I'm worthy",If only that were true,Funny how it feels like we're talking to each other on the other line,1
Asystole,FLOWERS for VASES / descansos,Funny how it feels like we're talking to each other on the other line,"If only I could prove that on my own, I'm worthy",But it's quiet here,1
Asystole,FLOWERS for VASES / descansos,But it's quiet here,Funny how it feels like we're talking to each other on the other line,Nothing playing but the song of asystole,1
Asystole,FLOWERS for VASES / descansos,Nothing playing but the song of asystole,But it's quiet here,,1
Asystole,FLOWERS for VASES / descansos,"Asystole, asystole",,"Asystole, asystole",2
Asystole,FLOWERS for VASES / descansos,"Asystole, asystole","Asystole, asystole",,2
Asystole,FLOWERS for VASES / descansos,And I can't get my head to say anything my heart could ever understand,,I want to forget,1
Asystole,FLOWERS for VASES / descansos,I want to forget,And I can't get my head to say anything my heart could ever understand,But the feeling isn't something I can let myself let go of,1
Asystole,FLOWERS for VASES / descansos,But the feeling isn't something I can let myself let go of,I want to forget,The trouble is the way you stick,1
Asystole,FLOWERS for VASES / descansos,The trouble is the way you stick,But the feeling isn't something I can let myself let go of,To any part of me that remains intact,1
Asystole,FLOWERS for VASES / descansos,To any part of me that remains intact,The trouble is the way you stick,But if I pull the plug,1
Asystole,FLOWERS for VASES / descansos,But if I pull the plug,To any part of me that remains intact,It isn't only me that I'm holding back,1
Asystole,FLOWERS for VASES / descansos,It isn't only me that I'm holding back,But if I pull the plug,,1
Asystole,FLOWERS for VASES / descansos,Revive your love in me,,Revive another side of me,1
Asystole,FLOWERS for VASES / descansos,Revive another side of me,Revive your love in me,"My eyes, they see the poisoned devotion in me",1
Asystole,FLOWERS for VASES / descansos,"My eyes, they see the poisoned devotion in me",Revive another side of me,"Revive, revive, revive asystole, asystoleYou might also like",1
Asystole,FLOWERS for VASES / descansos,"Revive, revive, revive asystole, asystoleYou might also like","My eyes, they see the poisoned devotion in me",,1
Find Me Here (FLOWERS for VASES / descansos Version),FLOWERS for VASES / descansos,No one can hold your hand,,Now through the delicate darkness you go,1
Find Me Here (FLOWERS for VASES / descansos Version),FLOWERS for VASES / descansos,Now through the delicate darkness you go,No one can hold your hand,If I trespass even one step,1
Find Me Here (FLOWERS for VASES / descansos Version),FLOWERS for VASES / descansos,If I trespass even one step,Now through the delicate darkness you go,"It all just disappears, clock starts over",1
Find Me Here (FLOWERS for VASES / descansos Version),FLOWERS for VASES / descansos,"It all just disappears, clock starts over",If I trespass even one step,,1
Find Me Here (FLOWERS for VASES / descansos Version),FLOWERS for VASES / descansos,"As long as I am loving you, you'll never be alone",,As long as you keep wanting me around,1
Find Me Here (FLOWERS for VASES / descansos Version),FLOWERS for VASES / descansos,As long as you keep wanting me around,"As long as I am loving you, you'll never be alone",But this is one trip you're gonna have to take alone,1
Find Me Here (FLOWERS for VASES / descansos Version),FLOWERS for VASES / descansos,But this is one trip you're gonna have to take alone,As long as you keep wanting me around,"When you come back, you'll find me here where I belong",1
Find Me Here (FLOWERS for VASES / descansos Version),FLOWERS for VASES / descansos,"When you come back, you'll find me here where I belong",But this is one trip you're gonna have to take alone,,1
Find Me Here (FLOWERS for VASES / descansos Version),FLOWERS for VASES / descansos,"Hmm, hmm",,"La, la, la, la, hmm, hmm",1
Find Me Here (FLOWERS for VASES / descansos Version),FLOWERS for VASES / descansos,"La, la, la, la, hmm, hmm","Hmm, hmm",,1
